Feature_ID,b_numbers,background_2,background_3,background_4,pex_1,TPII_1,LL37_2,PLEU_1,NT_6,pex_2,LL37_3,Ind_3,PXB_1,CAP18_1,HBD3_1,PR39_1,Ind_1,PGLA_1,NT_4,PGLA_2,NT_2,NT_3,PROA_3,Bac5_2,background_1,R8_1,R8_2,PROA_2,PROA_1,NT_1,AP_2,TPII_2,CAP18_2,background_5,Bac5_3,PR39_2,CP1_1,CP1_2,PXB_3
lacI,b0345,719076.179,725356.1582,717175.5774,459904.2507,466265.0508,451758.3147,443039.4913,456135.9381,440322.0013,448052.7125,432401.0364,453556.5569,448292.0024,445796.9558,450781.7763,451479.1847,455788.724,469483.03370000003,483465.1036,461142.4354,468968.7608,467148.7566,413898.0917,718529.6757,403679.0419,482055.3789,464613.568,461641.9419,463154.8705,414184.9785,431108.2951,428107.2655,707244.9539,472574.9645,474288.3957,467015.6891,459366.542,476195.486
lacZ,b0344,30825.58094,31334.45108,31451.4093,19265.65623,20017.73032,19594.86972,23385.52678,22094.94537,21316.05314,21086.79659,20683.97435,24508.40166,24765.38205,24402.86077,24109.76765,22047.8435,22249.89227,22200.47444,22827.41352,21451.80292,22044.84495,22134.97367,19794.52967,33521.7569,19126.50037,22343.76584,21968.81083,22093.27966,22158.6348,18060.73889,18791.41706,18875.11109,32476.60838,21418.12109,21101.35266,20550.60464,20696.93407,21219.29888
ghrB,b3553,4413.348196,5612.727427,6728.593425,4776.022278,4133.159933,4561.130739,6466.369225,5195.558377,5194.17421,5188.481868,4871.869133,6471.989084,6622.162057,6530.089598,6485.045337,6475.724237,6983.996991,6766.537617,7243.055165,6365.756461,6567.683111,6600.738993,5742.399688,584.0953715,482.67974830000003,680.1029682,3018.561435,2781.020819,3041.565879,1389.400472,1302.179815,1384.205877,7459.271171,5055.634273,5736.332152,5364.968036,5275.105242,5330.295302
gcvR,b2479,2430.858358,4533.935456,4509.230148,3525.299479,3406.750219,3670.028654,5617.039364,5903.846723,6315.608944,6826.823512,6035.957955,5179.809466,5132.172449,5963.384476,5406.651408,8233.938577,8363.545012,7765.650706,8496.06929,8311.288772,8355.914683,7923.06053,7230.823639,141.1063571,134.9301092,179.2029083,2510.359101,2579.225698,2508.915949,355.8055634,326.255405,280.5239514,8829.821087,5616.303263,5866.579555,5770.552668,5537.307122,5725.347426
lsrD,b1515,1887.103129,2401.064738,2562.239437,1735.556406,1627.005582,1688.810717,3499.063426,2846.874454,2209.450553,2680.153319,1749.560469,2882.857246,2773.806625,3286.265137,3160.25217,2540.099511,3179.010548,2866.550364,2965.866613,3134.752693,2848.468289,3099.808168,2876.828667,1487.264752,958.0161815,1764.553503,1707.383359,1869.334623,1957.242614,1049.854856,1528.045923,830.5542972,3844.325684,3124.251031,2826.067748,3495.939728,2332.648239,2973.506604
ydaQ,b1346,1855.16817,1923.785406,2223.407317,1571.542733,1446.444417,1465.105339,3745.943334,3046.426961,2807.968986,2780.440187,2739.148185,4153.798512,3861.366755,3921.591491,3695.916832,4304.747978,4118.672731,3111.712416,2674.298756,4285.542398,4161.78803,4844.139289,3879.469564,320.0739811,344.9707692,616.7537734,1724.059995,1649.938533,1611.490542,560.0574777,370.9213235,666.2443846,1978.431136,1189.012839,1457.584911,1190.395489,1431.578989,1842.670794
wecB,b3786,1300.304253,1645.684089,1384.57151,1103.83916,952.0039808,1367.133233,3828.261595,2621.303993,2302.667852,2450.033713,2314.22355,4327.830482,3826.30442,4200.230318,3663.802091,4977.779178,5056.557969,4101.530383,4716.816517,5146.022224,4108.969298,5095.714215,4179.110542,179.9309922,276.4114322,404.4513643,1182.901329,1165.680394,1401.94011,426.5956904,444.8477448,217.2758457,2301.898318,1741.893991,1814.192801,1944.977376,1874.211127,2298.838066
yjjG,b4374,1096.127243,1110.718484,1389.075357,825.5643363,613.7085567,821.0895751,178.2162529,185.7805279,212.3632809,176.9315058,207.9705083,182.1300808,176.4436323,153.7590524,180.9071063,220.4329444,160.5882912,223.7984939,235.9888021,137.741852,156.8809691,162.8894124,164.3419356,256.3664406,138.4106553,173.5275407,494.5873761,527.4608768,560.4066976,1506.84194,1380.003899,1486.19769,739.6130845,335.1233383,459.654502,302.4737881,420.825836,463.4823279
gspH,b3329,1035.538952,1165.926541,1324.772892,901.5301303,958.223933,876.1149945,254.77313,413.0507842,304.4864203,422.1674295,1386.319452,1502.717714,194.3783182,881.8987633,164.607373,1487.626762,772.0611613,351.6149599,891.1979656,302.2788304,359.0017289,203.9399069,171.6031366,155.4736227,243.325689,377.4386344,417.6668079,493.103072,511.3892182,144.8639004,237.7507875,161.7138073,200.9720467,156.2476362,227.7668704,317.6650543,463.9634003,478.0983681
mppA,b1329,1020.722195,577.5415245,773.429102,540.3242952,679.0832285,468.3910113,173.4863873,285.8322915,353.1250374,180.914869,1384.903306,181.858718,127.2470176,142.46575,146.5137666,841.0605683,122.8273984,275.0057968,96.33865702,232.4649456,210.6063985,171.0641598,156.2322087,118.8252723,125.6577987,135.4019395,319.0707973,314.8063387,363.7765403,495.6611322,294.4167203,198.3134006,51.89588766,135.1056183,181.5250241,363.016578,368.5500265,185.8104506
